°¡,B0A1|a
±É,B1C9|bi
±Ê,B1CA|bi
±Ë,B1CB|bi
±Ì,B1CC|bi
±Í,B1CD|bi
±Î,B1CE|bi
±Ï,B1CF|bi
±Ğ,B1D0|bi
±Ñ,B1D1|bi
±Ò,B1D2|bi
±Ó,B1D3|bi
±Ô,B1D4|bi
±Õ,B1D5|bi
±Ö,B1D6|bi
±×,B1D7|bi
±Ø,B1D8|bi
±Ù,B1D9|bi
±Ú,B1DA|bi
±Û,B1DB|bi
±Ü,B1DC|bi
±İ,B1DD|bi
±Ş,B1DE|bian
±ß,B1DF|bian
±à,B1E0|bian
±á,B1E1|bian
±â,B1E2|bian
±ã,B1E3|bian
±ä,B1E4|bian
±å,B1E5|bian
±æ,B1E6|bian
±ç,B1E7|bian
±è,B1E8|bian
±é,B1E9|bian
±ê,B1EA|biao
±ë,B1EB|biao
±ì,B1EC|biao
±í,B1ED|biao
±î,B1EE|bie
±ï,B1EF|bie
±ğ,B1F0|bie
±ñ,B1F1|bie
±ò,B1F2|bin
±ó,B1F3|bin
±ô,B1F4|bin
±õ,B1F5|bin
±ö,B1F6|bin
±÷,B1F7|bin
±ø,B1F8|bing
±ù,B1F9|bing
±ú,B1FA|bing
±û,B1FB|bing
±ü,B1FC|bing
±ı,B1FD|bing
±ş,B1FE|bing
²¡,B2A1|bing
²¢,B2A2|bing
²£,B2A3|bo
²¤,B2A4|bo
²¥,B2A5|bo
²¦,B2A6|bo
²§,B2A7|bo
²¨,B2A8|bo
²©,B2A9|bo
²ª,B2AA|bo
²«,B2AB|bo
²¬,B2AC|bo
²­,B2AD|bo
²®,B2AE|bo
²¯,B2AF|bo
²°,B2B0|bo
²±,B2B1|bo
²²,B2B2|bo
²³,B2B3|bo
²´,B2B4|bo
²µ,B2B5|bo
²¶,B2B6|bu
²·,B2B7|bu
²¸,B2B8|bu
²¹,B2B9|bu
²º,B2BA|bu
²»,B2BB|bu
²¼,B2BC|bu
²½,B2BD|bu
²¾,B2BE|bu
²¿,B2BF|bu
²À,B2C0|bu
²Á,B2C1|ca
²Â,B2C2|cai
²Ã,B2C3|cai
²Ä,B2C4|cai
²Å,B2C5|cai
²Æ,B2C6|cai
²Ç,B2C7|cai
²È,B2C8|cai
²É,B2C9|cai
²Ê,B2CA|cai
²Ë,B2CB|cai
²Ì,B2CC|cai
²Í,B2CD|can
²Î,B2CE|can
²Ï,B2CF|can
²Ğ,B2D0|can
²Ñ,B2D1|can
²Ò,B2D2|can
²Ó,B2D3|can
²Ô,B2D4|cang
²Õ,B2D5|cang
²Ö,B2D6|cang
²×,B2D7|cang
²Ø,B2D8|cang
²Ù,B2D9|cao
²Ú,B2DA|cao
²Û,B2DB|cao
²Ü,B2DC|cao
²İ,B2DD|cao
²Ş,B2DE|ce
²ß,B2DF|ce
²à,B2E0|ce
²á,B2E1|ce
²â,B2E2|ce
²ã,B2E3|ceng
²ä,B2E4|ceng
²å,B2E5|cha
²æ,B2E6|cha
²ç,B2E7|cha
²è,B2E8|cha
²é,B2E9|cha
²ê,B2EA|cha
²ë,B2EB|cha
²ì,B2EC|cha
²í,B2ED|cha
²î,B2EE|cha
²ï,B2EF|cha
²ğ,B2F0|chai
²ñ,B2F1|chai
²ò,B2F2|chai
²ó,B2F3|chan
²ô,B2F4|chan
²õ,B2F5|chan
²ö,B2F6|chan
²÷,B2F7|chan
²ø,B2F8|chan
²ù,B2F9|chan
²ú,B2FA|chan
²û,B2FB|chan
²ü,B2FC|chan
²ı,B2FD|chang
²ş,B2FE|chang
³¡,B3A1|chang
³¢,B3A2|chang
³£,B3A3|chang
³¤,B3A4|chang
³¥,B3A5|chang
³¦,B3A6|chang
³§,B3A7|chang
³¨,B3A8|chang
³©,B3A9|chang
³ª,B3AA|chang
³«,B3AB|chang
³¬,B3AC|chao
³­,B3AD|chao
³®,B3AE|chao
³¯,B3AF|chao
³°,B3B0|chao
³±,B3B1|chao
³²,B3B2|chao
³³,B3B3|chao
³´,B3B4|chao
³µ,B3B5|che
³¶,B3B6|che
³·,B3B7|che
³¸,B3B8|che
³¹,B3B9|che
³º,B3BA|che
³»,B3BB|chen
³¼,B3BC|chen
³½,B3BD|chen
³¾,B3BE|chen
³¿,B3BF|chen
³À,B3C0|chen
³Á,B3C1|chen
³Â,B3C2|chen
³Ã,B3C3|chen
³Ä,B3C4|chen
³Å,B3C5|cheng
³Æ,B3C6|cheng
³Ç,B3C7|cheng
³È,B3C8|cheng
³É,B3C9|cheng
³Ê,B3CA|cheng
³Ë,B3CB|cheng
³Ì,B3CC|cheng
³Í,B3CD|cheng
³Î,B3CE|cheng
³Ï,B3CF|cheng
³Ğ,B3D0|cheng
³Ñ,B3D1|cheng
³Ò,B3D2|cheng
³Ó,B3D3|cheng
³Ô,B3D4|chi
³Õ,B3D5|chi
³Ö,B3D6|chi
³×,B3D7|chi
³Ø,B3D8|chi
³Ù,B3D9|chi
³Ú,B3DA|chi
³Û,B3DB|chi
³Ü,B3DC|chi
³İ,B3DD|chi
³Ş,B3DE|chi
³ß,B3DF|chi
³à,B3E0|chi
³á,B3E1|chi
³â,B3E2|chi
³ã,B3E3|chi
³ä,B3E4|chong
³å,B3E5|chong
³æ,B3E6|chong
³ç,B3E7|chong
³è,B3E8|chong
³é,B3E9|chou
³ê,B3EA|chou
³ë,B3EB|chou
³ì,B3EC|chou
³í,B3ED|chou
³î,B3EE|chou
³ï,B3EF|chou
³ğ,B3F0|chou
³ñ,B3F1|chou
³ò,B3F2|chou
³ó,B3F3|chou
³ô,B3F4|chou
³õ,B3F5|chu
³ö,B3F6|chu
³÷,B3F7|chu
³ø,B3F8|chu
³ù,B3F9|chu
³ú,B3FA|chu
³û,B3FB|chu
³ü,B3FC|chu
³ı,B3FD|chu
³ş,B3FE|chu
´¡,B4A1|chu
´¢,B4A2|chu
´£,B4A3|chu
´¤,B4A4|chu
´¥,B4A5|chu
´¦,B4A6|chu
´§,B4A7|chuai
´¨,B4A8|chuan
´©,B4A9|chuan
´ª,B4AA|chuan
´«,B4AB|chuan
´¬,B4AC|chuan
´­,B4AD|chuan
´®,B4AE|chuan
´¯,B4AF|chuang
´°,B4B0|chuang
´±,B4B1|chuang
´²,B4B2|chuang
´³,B4B3|chuang
´´,B4B4|chuang
´µ,B4B5|chui
´¶,B4B6|chui
´·,B4B7|chui
´¸,B4B8|chui
´¹,B4B9|chui
´º,B4BA|chun
´»,B4BB|chun
´¼,B4BC|chun
´½,B4BD|chun
´¾,B4BE|chun
´¿,B4BF|chun
´À,B4C0|chun
´Á,B4C1|chuo
´Â,B4C2|chuo
´Ã,B4C3|ci
´Ä,B4C4|ci
´Å,B4C5|ci
´Æ,B4C6|ci
´Ç,B4C7|ci
´È,B4C8|ci
´É,B4C9|ci
´Ê,B4CA|ci
´Ë,B4CB|ci
´Ì,B4CC|ci
´Í,B4CD|ci
´Î,B4CE|ci
´Ï,B4CF|cong
´Ğ,B4D0|cong
´Ñ,B4D1|cong
´Ò,B4D2|cong
´Ó,B4D3|cong
´Ô,B4D4|cong
´Õ,B4D5|cou
´Ö,B4D6|cu
´×,B4D7|cu
´Ø,B4D8|cu
´Ù,B4D9|cu
´Ú,B4DA|cuan
´Û,B4DB|cuan
´Ü,B4DC|cuan
´İ,B4DD|cui
´Ş,B4DE|cui
´ß,B4DF|cui
´à,B4E0|cui
´á,B4E1|cui
´â,B4E2|cui
´ã,B4E3|cui
´ä,B4E4|cui
´å,B4E5|cun
´æ,B4E6|cun
´ç,B4E7|cun
´è,B4E8|cuo
´é,B4E9|cuo
´ê,B4EA|cuo
´ë,B4EB|cuo
´ì,B4EC|cuo
´í,B4ED|cuo
´î,B4EE|da
´ï,B4EF|da
´ğ,B4F0|da
´ñ,B4F1|da
´ò,B4F2|da
´ó,B4F3|da
´ô,B4F4|dai
´õ,B4F5|dai
´ö,B4F6|dai
´÷,B4F7|dai
´ø,B4F8|dai
´ù,B4F9|dai
´ú,B4FA|dai
´û,B4FB|dai
´ü,B4FC|dai
´ı,B4FD|dai
´ş,B4FE|dai
µ¡,B5A1|dai
µ¢,B5A2|dan
µ£,B5A3|dan
µ¤,B5A4|dan
µ¥,B5A5|dan
µ¦,B5A6|dan
µ§,B5A7|dan
µ¨,B5A8|dan
µ©,B5A9|dan
µª,B5AA|dan
µ«,B5AB|dan
µ¬,B5AC|dan
µ­,B5AD|dan
µ®,B5AE|dan
µ¯,B5AF|dan
µ°,B5B0|dan
µ±,B5B1|dang
µ²,B5B2|dang
µ³,B5B3|dang
µ´,B5B4|dang
µµ,B5B5|dang
µ¶,B5B6|dao
µ·,B5B7|dao
µ¸,B5B8|dao
µ¹,B5B9|dao
µº,B5BA|dao
µ»,B5BB|dao
µ¼,B5BC|dao
µ½,B5BD|dao
µ¾,B5BE|dao
µ¿,B5BF|dao
µÀ,B5C0|dao
µÁ,B5C1|dao
µÂ,B5C2|de
µÃ,B5C3|de
µÄ,B5C4|de
µÅ,B5C5|deng
µÆ,B5C6|deng
µÇ,B5C7|deng
µÈ,B5C8|deng
µÉ,B5C9|deng
µÊ,B5CA|deng
µË,B5CB|deng
µÌ,B5CC|di
µÍ,B5CD|di
µÎ,B5CE|di
µÏ,B5CF|di
µĞ,B5D0|di
µÑ,B5D1|di
µÒ,B5D2|di
µÓ,B5D3|di
µÔ,B5D4|di
µÕ,B5D5|di
µÖ,B5D6|di
µ×,B5D7|di
µØ,B5D8|di
µÙ,B5D9|di
µÚ,B5DA|di
µÛ,B5DB|di
µÜ,B5DC|di
µİ,B5DD|di
µŞ,B5DE|di
µß,B5DF|dian
µà,B5E0|dian
µá,B5E1|dian
µâ,B5E2|dian
µã,B5E3|dian
µä,B5E4|dian
µå,B5E5|dian
µæ,B5E6|dian
µç,B5E7|dian
µè,B5E8|dian
µé,B5E9|dian
µê,B5EA|dian
µë,B5EB|dian
µì,B5EC|dian
µí,B5ED|dian
µî,B5EE|dian
µï,B5EF|diao
µğ,B5F0|diao
µñ,B5F1|diao
µò,B5F2|diao
µó,B5F3|diao
µô,B5F4|diao
µõ,B5F5|diao
µö,B5F6|diao
µ÷,B5F7|diao
µø,B5F8|die
µù,B5F9|die
µú,B5FA|die
µû,B5FB|die
µü,B5FC|die
µı,B5FD|die
µş,B5FE|die
¶¡,B6A1|ding
¶¢,B6A2|ding
¶£,B6A3|ding
¶¤,B6A4|ding
¶¥,B6A5|ding
¶¦,B6A6|ding
¶§,B6A7|ding
¶¨,B6A8|ding
¶©,B6A9|ding
¶ª,B6AA|diu
¶«,B6AB|dong
¶¬,B6AC|dong
¶­,B6AD|dong
¶®,B6AE|dong
¶¯,B6AF|dong
¶°,B6B0|dong
¶±,B6B1|dong
¶²,B6B2|dong
¶³,B6B3|dong
¶´,B6B4|dong
¶µ,B6B5|dou
¶¶,B6B6|dou
¶·,B6B7|dou
¶¸,B6B8|dou
¶¹,B6B9|dou
¶º,B6BA|dou
¶»,B6BB|dou
¶¼,B6BC|dou
¶½,B6BD|du
¶¾,B6BE|du
¶¿,B6BF|du
¶À,B6C0|du
¶Á,B6C1|du
¶Â,B6C2|du
¶Ã,B6C3|du
¶Ä,B6C4|du
¶Å,B6C5|du
¶Æ,B6C6|du
¶Ç,B6C7|du
¶È,B6C8|du
¶É,B6C9|du
¶Ê,B6CA|du
¶Ë,B6CB|duan
¶Ì,B6CC|duan
¶Í,B6CD|duan
¶Î,B6CE|duan
¶Ï,B6CF|duan
¶Ğ,B6D0|duan
¶Ñ,B6D1|dui
¶Ò,B6D2|dui
¶Ó,B6D3|dui
¶Ô,B6D4|dui
¶Õ,B6D5|dun
¶Ö,B6D6|dun
¶×,B6D7|dun
¶Ø,B6D8|dun
¶Ù,B6D9|dun
¶Ú,B6DA|dun
¶Û,B6DB|dun
¶Ü,B6DC|dun
¶İ,B6DD|dun
¶Ş,B6DE|duo
¶ß,B6DF|duo
¶à,B6E0|duo
¶á,B6E1|duo
¶â,B6E2|duo
¶ã,B6E3|duo
¶ä,B6E4|duo
¶å,B6E5|duo
¶æ,B6E6|duo
¶ç,B6E7|duo
¶è,B6E8|duo
¶é,B6E9|duo
¶ê,B6EA|e
¶ë,B6EB|e
¶ì,B6EC|e
¶í,B6ED|e
¶î,B6EE|e
¶ï,B6EF|e
¶ğ,B6F0|e
¶ñ,B6F1|e
¶ò,B6F2|e
¶ó,B6F3|e
¶ô,B6F4|e
¶õ,B6F5|e
¶ö,B6F6|e
¶÷,B6F7|en
¶ø,B6F8|er
¶ù,B6F9|er
¶ú,B6FA|er
¶û,B6FB|er
¶ü,B6FC|er
¶ı,B6FD|er
¶ş,B6FE|er
·¡,B7A1|er
·¢,B7A2|fa
·£,B7A3|fa
·¤,B7A4|fa
·¥,B7A5|fa
·¦,B7A6|fa
·§,B7A7|fa
·¨,B7A8|fa
·©,B7A9|fa
·ª,B7AA|fan
·«,B7AB|fan
·¬,B7AC|fan
·­,B7AD|fan
·®,B7AE|fan
·¯,B7AF|fan
·°,B7B0|fan
·±,B7B1|fan
·²,B7B2|fan
·³,B7B3|fan
·´,B7B4|fan
·µ,B7B5|fan
·¶,B7B6|fan
··,B7B7|fan
·¸,B7B8|fan
·¹,B7B9|fan
·º,B7BA|fan
·»,B7BB|fang
·¼,B7BC|fang
·½,B7BD|fang
·¾,B7BE|fang
·¿,B7BF|fang
·À,B7C0|fang
·Á,B7C1|fang
·Â,B7C2|fang
·Ã,B7C3|fang
·Ä,B7C4|fang
·Å,B7C5|fang
·Æ,B7C6|fei
·Ç,B7C7|fei
·È,B7C8|fei
·É,B7C9|fei
·Ê,B7CA|fei
·Ë,B7CB|fei
·Ì,B7CC|fei
·Í,B7CD|fei
·Î,B7CE|fei
·Ï,B7CF|fei
·Ğ,B7D0|fei
·Ñ,B7D1|fei
·Ò,B7D2|fen
·Ó,B7D3|fen
·Ô,B7D4|fen
·Õ,B7D5|fen
·Ö,B7D6|fen
·×,B7D7|fen
·Ø,B7D8|fen
·Ù,B7D9|fen
·Ú,B7DA|fen
·Û,B7DB|fen
·Ü,B7DC|fen
·İ,B7DD|fen
·Ş,B7DE|fen
·ß,B7DF|fen
·à,B7E0|fen
·á,B7E1|feng
·â,B7E2|feng
·ã,B7E3|feng
·ä,B7E4|feng
·å,B7E5|feng
·æ,B7E6|feng
·ç,B7E7|feng
·è,B7E8|feng
·é,B7E9|feng
·ê,B7EA|feng
·ë,B7EB|feng
·ì,B7EC|feng
·í,B7ED|feng
·î,B7EE|feng
·ï,B7EF|feng
·ğ,B7F0|fo
·ñ,B7F1|fou
·ò,B7F2|fu
·ó,B7F3|fu
·ô,B7F4|fu
·õ,B7F5|fu
·ö,B7F6|fu
·÷,B7F7|fu
·ø,B7F8|fu
·ù,B7F9|fu
·ú,B7FA|fu
·û,B7FB|fu
·ü,B7FC|fu
·ı,B7FD|fu
·ş,B7FE|fu
¸¡,B8A1|fu
¸¢,B8A2|fu
¸£,B8A3|fu
¸¤,B8A4|fu
¸¥,B8A5|fu
¸¦,B8A6|fu
¸§,B8A7|fu
¸¨,B8A8|fu
¸©,B8A9|fu
¸ª,B8AA|fu
¸«,B8AB|fu
¸¬,B8AC|fu
¸­,B8AD|fu
¸®,B8AE|fu
¸¯,B8AF|fu
¸°,B8B0|fu
¸±,B8B1|fu
¸²,B8B2|fu
¸³,B8B3|fu
¸´,B8B4|fu
¸µ,B8B5|fu
¸¶,B8B6|fu
¸·,B8B7|fu
¸¸,B8B8|fu
¸¹,B8B9|fu
¸º,B8BA|fu
¸»,B8BB|fu
¸¼,B8BC|fu
¸½,B8BD|fu
¸¾,B8BE|fu
¸¿,B8BF|fu
¸À,B8C0|fu
¸Á,B8C1|ga
¸Â,B8C2|ga
¸Ã,B8C3|gai
¸Ä,B8C4|gai
¸Å,B8C5|gai
¸Æ,B8C6|gai
¸Ç,B8C7|gai
¸È,B8C8|gai
¸É,B8C9|gan
¸Ê,B8CA|gan
¸Ë,B8CB|gan
¸Ì,B8CC|gan
¸Í,B8CD|gan
¸Î,B8CE|gan
¸Ï,B8CF|gan
¸Ğ,B8D0|gan
¸Ñ,B8D1|gan
¸Ò,B8D2|gan
¸Ó,B8D3|gan
¸Ô,B8D4|gang
¸Õ,B8D5|gang
¸Ö,B8D6|gang
¸×,B8D7|gang
¸Ø,B8D8|gang
¸Ù,B8D9|gang
¸Ú,B8DA|gang
¸Û,B8DB|gang
¸Ü,B8DC|gang
¸İ,B8DD|gao
¸Ş,B8DE|gao
¸ß,B8DF|gao
¸à,B8E0|gao
¸á,B8E1|gao
¸â,B8E2|gao
¸ã,B8E3|gao
¸ä,B8E4|gao
¸å,B8E5|gao
¸æ,B8E6|gao
¸ç,B8E7|ge
¸è,B8E8|ge
¸é,B8E9|ge
¸ê,B8EA|ge
¸ë,B8EB|ge
¸ì,B8EC|ge
¸í,B8ED|ge
¸î,B8EE|ge
¸ï,B8EF|ge
¸ğ,B8F0|ge
¸ñ,B8F1|ge
¸ò,B8F2|ge
¸ó,B8F3|ge
¸ô,B8F4|ge
¸õ,B8F5|ge
¸ö,B8F6|ge
¸÷,B8F7|ge
¸ø,B8F8|gei
¸ù,B8F9|gen
¸ú,B8FA|gen
¸û,B8FB|geng
¸ü,B8FC|geng
¸ı,B8FD|geng
¸ş,B8FE|geng
¹¡,B9A1|geng
¹¢,B9A2|geng
¹£,B9A3|geng
¹¤,B9A4|gong
¹¥,B9A5|gong
¹¦,B9A6|gong
¹§,B9A7|gong
¹¨,B9A8|gong
¹©,B9A9|gong
¹ª,B9AA|gong
¹«,B9AB|gong
¹¬,B9AC|gong
¹­,B9AD|gong
¹®,B9AE|gong
¹¯,B9AF|gong
¹°,B9B0|gong
¹±,B9B1|gong
¹²,B9B2|gong
¹³,B9B3|gou
¹´,B9B4|gou
¹µ,B9B5|gou
¹¶,B9B6|gou
¹·,B9B7|gou
¹¸,B9B8|gou
¹¹,B9B9|gou
¹º,B9BA|gou
¹»,B9BB|gou
¹¼,B9BC|gu
¹½,B9BD|gu
¹¾,B9BE|gu
¹¿,B9BF|gu
¹À,B9C0|gu
¹Á,B9C1|gu
¹Â,B9C2|gu
¹Ã,B9C3|gu
¹Ä,B9C4|gu
¹Å,B9C5|gu
¹Æ,B9C6|gu
¹Ç,B9C7|gu
¹È,B9C8|gu
¹É,B9C9|gu
¹Ê,B9CA|gu
¹Ë,B9CB|gu
¹Ì,B9CC|gu
¹Í,B9CD|gu
¹Î,B9CE|gua
¹Ï,B9CF|gua
¹Ğ,B9D0|gua
¹Ñ,B9D1|gua
¹Ò,B9D2|gua
¹Ó,B9D3|gua
¹Ô,B9D4|guai
¹Õ,B9D5|guai
¹Ö,B9D6|guai
¹×,B9D7|guan
¹Ø,B9D8|guan
¹Ù,B9D9|guan
¹Ú,B9DA|guan
¹Û,B9DB|guan
¹Ü,B9DC|guan
¹İ,B9DD|guan
¹Ş,B9DE|guan
¹ß,B9DF|guan
¹à,B9E0|guan
¹á,B9E1|guan
¹â,B9E2|guang
¹ã,B9E3|guang
¹ä,B9E4|guang
¹å,B9E5|gui
¹æ,B9E6|gui
¹ç,B9E7|gui
¹è,B9E8|gui
¹é,B9E9|gui
¹ê,B9EA|gui
¹ë,B9EB|gui
¹ì,B9EC|gui
¹í,B9ED|gui
¹î,B9EE|gui
¹ï,B9EF|gui
¹ğ,B9F0|gui
¹ñ,B9F1|gui
¹ò,B9F2|gui
¹ó,B9F3|gui
¹ô,B9F4|gui
¹õ,B9F5|gun
¹ö,B9F6|gun
¹÷,B9F7|gun
¹ø,B9F8|guo
¹ù,B9F9|guo
¹ú,B9FA|guo
¹û,B9FB|guo
¹ü,B9FC|guo
¹ı,B9FD|guo
¹ş,B9FE|ha
º¡,BAA1|hai
º¢,BAA2|hai
º£,BAA3|hai
º¤,BAA4|hai
º¥,BAA5|hai
º¦,BAA6|hai
º§,BAA7|hai
º¨,BAA8|han
º©,BAA9|han
ºª,BAAA|han
º«,BAAB|han
º¬,BAAC|han
º­,BAAD|han
º®,BAAE|han
º¯,BAAF|han
º°,BAB0|han
º±,BAB1|han
º²,BAB2|han
º³,BAB3|han
º´,BAB4|han
ºµ,BAB5|han
º¶,BAB6|han
º·,BAB7|han
º¸,BAB8|han
º¹,BAB9|han
ºº,BABA|han
º»,BABB|hang
º¼,BABC|hang
º½,BABD|hang
º¾,BABE|hao
º¿,BABF|hao
ºÀ,BAC0|hao
ºÁ,BAC1|hao
ºÂ,BAC2|hao
ºÃ,BAC3|hao
ºÄ,BAC4|hao
ºÅ,BAC5|hao
ºÆ,BAC6|hao
ºÇ,BAC7|he
ºÈ,BAC8|he
ºÉ,BAC9|he
ºÊ,BACA|he
ºË,BACB|he
ºÌ,BACC|he
ºÍ,BACD|he
ºÎ,BACE|he
ºÏ,BACF|he
ºĞ,BAD0|he
ºÑ,BAD1|he
ºÒ,BAD2|he
ºÓ,BAD3|he
ºÔ,BAD4|he
ºÕ,BAD5|he
ºÖ,BAD6|he
º×,BAD7|he
ºØ,BAD8|he
ºÙ,BAD9|hei
ºÚ,BADA|hei
ºÛ,BADB|hen
ºÜ,BADC|hen
ºİ,BADD|hen
ºŞ,BADE|hen
ºß,BADF|heng
ºà,BAE0|heng
ºá,BAE1|heng
ºâ,BAE2|heng
ºã,BAE3|heng
ºä,BAE4|hong
ºå,BAE5|hong
ºæ,BAE6|hong
ºç,BAE7|hong
ºè,BAE8|hong
ºé,BAE9|hong
ºê,BAEA|hong
ºë,BAEB|hong
ºì,BAEC|hong
ºí,BAED|hou
ºî,BAEE|hou
ºï,BAEF|hou
ºğ,BAF0|hou
ºñ,BAF1|hou
ºò,BAF2|hou
ºó,BAF3|hou
ºô,BAF4|hu
ºõ,BAF5|hu
ºö,BAF6|hu
º÷,BAF7|hu
ºø,BAF8|hu
ºù,BAF9|hu
ºú,BAFA|hu
ºû,BAFB|hu
ºü,BAFC|hu
ºı,BAFD|hu
ºş,BAFE|hu
»¡,BBA1|hu
»¢,BBA2|hu
»£,BBA3|hu
»¤,BBA4|hu
»¥,BBA5|hu
»¦,BBA6|hu
»§,BBA7|hu
»¨,BBA8|hua
»©,BBA9|hua
»ª,BBAA|hua
»«,BBAB|hua
»¬,BBAC|hua
»­,BBAD|hua
»®,BBAE|hua
»¯,BBAF|hua
»°,BBB0|hua
»±,BBB1|huai
»²,BBB2|huai
»³,BBB3|huai
»´,BBB4|huai
»µ,BBB5|huai
»¶,BBB6|huan
»·,BBB7|huan
»¸,BBB8|huan
»¹,BBB9|huan
»º,BBBA|huan
»»,BBBB|huan
»¼,BBBC|huan
»½,BBBD|huan
»¾,BBBE|huan
»¿,BBBF|huan
»À,BBC0|huan
»Á,BBC1|huan
»Â,BBC2|huan
»Ã,BBC3|huan
»Ä,BBC4|huang
»Å,BBC5|huang
»Æ,BBC6|huang
»Ç,BBC7|huang
»È,BBC8|huang
»É,BBC9|huang
»Ê,BBCA|huang
»Ë,BBCB|huang
»Ì,BBCC|huang
»Í,BBCD|huang
»Î,BBCE|huang
»Ï,BBCF|huang
»Ğ,BBD0|huang
»Ñ,BBD1|huang
»Ò,BBD2|hui
»Ó,BBD3|hui
»Ô,BBD4|hui
»Õ,BBD5|hui
»Ö,BBD6|hui
»×,BBD7|hui
»Ø,BBD8|hui
»Ù,BBD9|hui
»Ú,BBDA|hui
»Û,BBDB|hui
»Ü,BBDC|hui
»İ,BBDD|hui
»Ş,BBDE|hui
»ß,BBDF|hui
»à,BBE0|hui
»á,BBE1|hui
»â,BBE2|hui
»ã,BBE3|hui
»ä,BBE4|hui
»å,BBE5|hui
»æ,BBE6|hui
»ç,BBE7|hun
»è,BBE8|hun
»é,BBE9|hun
»ê,BBEA|hun
»ë,BBEB|hun
»ì,BBEC|hun
»í,BBED|huo
»î,BBEE|huo
»ï,BBEF|huo
»ğ,BBF0|huo
»ñ,BBF1|huo
»ò,BBF2|huo
»ó,BBF3|huo
»ô,BBF4|huo
»õ,BBF5|huo
»ö,BBF6|huo
»÷,BBF7|ji
»ø,BBF8|ji
»ù,BBF9|ji
»ú,BBFA|ji
»û,BBFB|ji
»ü,BBFC|ji
»ı,BBFD|ji
»ş,BBFE|ji
¼¡,BCA1|ji
¼¢,BCA2|ji
¼£,BCA3|ji
¼¤,BCA4|ji
¼¥,BCA5|ji
¼¦,BCA6|ji
¼§,BCA7|ji
¼¨,BCA8|ji
¼©,BCA9|ji
¼ª,BCAA|ji
¼«,BCAB|ji
¼¬,BCAC|ji
¼­,BCAD|ji
¼®,BCAE|ji
¼¯,BCAF|ji
¼°,BCB0|ji
¼±,BCB1|ji
¼²,BCB2|ji
¼³,BCB3|ji
¼´,BCB4|ji
¼µ,BCB5|ji
